scenario,threshold,alerts,alert_rate,precision,recall,f1,fraud_amount_recall,missed_fraud_cost,residual_detected_fraud_cost,review_cost,friction_cost,total_proxy_cost
low,0.001,6156,0.048045704295704296,0.13482781026640675,0.9845788849347569,0.23717673953421917,0.9948249406025882,655.05,35273.389500000005,6156.0,15978.0,58062.43950000001
low,0.002,5384,0.04202047952047952,0.15397473997028233,0.9833926453143536,0.2662598361972057,0.9929028101392575,879.2075,35206.142250000004,5384.0,13665.0,55134.34975
low,0.003,5384,0.04202047952047952,0.15397473997028233,0.9833926453143536,0.2662598361972057,0.9929028101392575,879.2075,35206.142250000004,5384.0,13665.0,55134.34975
low,0.004,3594,0.028050074925074924,0.22927100723427934,0.9774614472123369,0.37142213207121927,0.9922087092991404,983.3475000000001,35174.900250000006,3594.0,8310.0,48062.24775000001
low,0.005,3594,0.028050074925074924,0.22927100723427934,0.9774614472123369,0.37142213207121927,0.9922087092991404,983.3475000000001,35174.900250000006,3594.0,8310.0,48062.24775000001
low,0.006,3593,0.028042270229770228,0.22933481770108544,0.9774614472123369,0.3715058611361587,0.9922087092991404,983.3475000000001,35174.900250000006,3593.0,8307.0,48058.24775000001
low,0.007,2977,0.023234577922077924,0.27611689620423246,0.9750889679715302,0.43036649214659684,0.9919343666875802,1024.6275,35162.51625000001,2977.0,6465.0,45629.14375000001
low,0.008,2318,0.018091283716283716,0.35202761000862814,0.9679715302491103,0.5162923125593166,0.9882760851432119,1471.7375000000002,35028.383250000006,2318.0,4506.0,43324.12075000001
low,0.009000000000000001,2129,0.016616196303696304,0.38139971817754814,0.963226571767497,0.5464333781965006,0.986441002327571,1700.9700000000005,34959.61350000001,2129.0,3951.0,42740.58350000001
low,0.010000000000000002,2129,0.016616196303696304,0.38139971817754814,0.963226571767497,0.5464333781965006,0.986441002327571,1700.9700000000005,34959.61350000001,2129.0,3951.0,42740.58350000001
low,0.011,2129,0.016616196303696304,0.38139971817754814,0.963226571767497,0.5464333781965006,0.986441002327571,1700.9700000000005,34959.61350000001,2129.0,3951.0,42740.58350000001
low,0.012,1904,0.01486013986013986,0.4254201680672269,0.9608540925266904,0.5897342555515107,0.9859414760027178,1767.9249999999997,34939.527,1904.0,3282.0,41893.452000000005
low,0.013000000000000001,1904,0.01486013986013986,0.4254201680672269,0.9608540925266904,0.5897342555515107,0.9859414760027178,1767.9249999999997,34939.527,1904.0,3282.0,41893.452000000005
